observation,set,x,y
1,I,10,8.04
2,I,8,6.95
3,I,13,7.58
4,I,9,8.81
5,I,11,8.33
6,I,14,9.96
7,I,6,7.24
8,I,4,4.26
9,I,12,10.84
10,I,7,4.82
11,I,5,5.68
1,II,10,9.14
2,II,8,8.14
3,II,13,8.74
4,II,9,8.77
5,II,11,9.26
6,II,14,8.1
7,II,6,6.13
8,II,4,3.1
9,II,12,9.13
10,II,7,7.26
11,II,5,4.74
1,III,10,7.46
2,III,8,6.77
3,III,13,12.74
4,III,9,7.11
5,III,11,7.81
6,III,14,8.84
7,III,6,6.08
8,III,4,5.39
9,III,12,8.15
10,III,7,6.42
11,III,5,5.73
1,IV,8,6.58
2,IV,8,5.76
3,IV,8,7.71
4,IV,8,8.84
5,IV,8,8.47
6,IV,8,7.04
7,IV,8,5.25
8,IV,19,12.5
9,IV,8,5.56
10,IV,8,7.91
11,IV,8,6.89
